,Temp,Amphb,0.05,0.01,Stat
0,30.0,0.0,5.060064310546572,5.8625633889528155,Max
1,30.0,0.075,4.96786870930633,5.785524642044983,Max
2,30.0,0.125,4.916882858573449,5.730428406967626,Max
3,30.0,0.175,4.9344734196013595,5.729748108530275,Max
4,37.0,0.0,4.859317075594343,5.642372155684494,Max
5,37.0,0.075,4.90145816641192,5.716815349401357,Max
6,37.0,0.125,4.620070385537366,5.342298638521619,Max
7,37.0,0.175,4.75085420659099,5.537539061818015,Max
8,39.0,0.0,4.854488190566556,5.7498999172757355,Max
9,39.0,0.075,4.795022390115368,5.653845137786362,Max
10,39.0,0.125,4.281394084135161,4.909417304177425,Max
0,30.0,0.0,3.042954369647192,3.6020350520704976,Mean
1,30.0,0.075,3.423829422871502,4.04167061558706,Mean
2,30.0,0.125,3.0350277568812802,3.561873576695945,Mean
3,30.0,0.175,2.784433386939605,3.2267559919839615,Mean
4,37.0,0.0,3.324392141468113,3.930303452845342,Mean
5,37.0,0.075,3.592823719918338,4.309714894568613,Mean
6,37.0,0.125,2.8206235329506066,3.2751460791730715,Mean
7,37.0,0.175,2.960423647399913,3.4992730768860816,Mean
8,39.0,0.0,3.823681209783663,4.549224027243967,Mean
9,39.0,0.075,3.5424939254114878,4.152753558752978,Mean
10,39.0,0.125,2.796125108765897,3.281795057055275,Mean
0,30.0,0.0,4.248220816931639,5.094934588700348,Last
1,30.0,0.075,4.185147127327041,4.90757647588342,Last
2,30.0,0.125,4.225597297337247,5.083556834790244,Last
3,30.0,0.175,4.108799700946822,4.9334953378742625,Last
4,37.0,0.0,4.031212177818988,4.818115164619917,Last
5,37.0,0.075,4.199785942933944,4.987221258473358,Last
6,37.0,0.125,4.089437231132571,4.85587738131581,Last
7,37.0,0.175,3.7885975320193226,4.41763766743249,Last
8,39.0,0.0,4.232462045784947,5.037138520082795,Last
9,39.0,0.075,4.089336023996484,4.861150107930846,Last
10,39.0,0.125,3.8710501350391193,4.519805366169731,Last
