Sample,Sample,Date,Cell_and_Capsule,Cell,Capsule,Cell_and_Capsule_diameter,Cell_diameter,Capsule_diameter,Circles,Residual,QTL
SS-A837,SS-A837,7-120,2954.0,1093.0,1935.5,61.32390674788543,37.30417675651313,25.117308728248574,15,2.144624340303835,1.0
SS-B307,SS-B307,7-120,3015.0,831.0,2065.5,61.95818934875773,32.51253332656997,26.994919633557586,15,3.635013216108959,1.0
SS-B310,SS-B310,7-120,6371.0,2168.0,3964.5,90.06410429028062,52.51784411121159,34.96751678897111,15,-5.55071843925203,0.0
SS-B311,SS-B311,7-150,3293.5,1023.5,2096.5,64.75629459671103,36.09931573154948,26.31915838074852,15,1.2510417879176714,1.0
SS-B312,SS-B312,11-22,7008.5,1610.0,5398.5,94.4522633732853,45.26962544857342,47.17925131987784,15,3.982096847188309,0.0
SS-B313,SS-B313,7-150,3343.0,1278.0,2178.0,65.24086437075651,40.33796374667726,27.184888826432708,15,1.8209481150085303,0.0
SS-B314,SS-B314,10-41,10354.0,2561.0,7299.5,114.7845526182986,57.10312140388432,51.79599363164245,15,-3.813783061941386,1.0
SS-B315,SS-B315,10-25,3101.5,1683.5,1455.5,62.782560180753684,46.29118120928487,17.224004860752167,15,-6.639170204126302,0.0
SS-B316,SS-B316,11-22,4429.0,1663.5,2646.0,75.0882399130346,46.02210267718728,28.779909291031636,15,-2.595737775767681,1.0
SS-B317,SS-B317,10-11,3479.0,1088.0,2371.5,66.5552368539218,37.21431656752923,29.006662896887512,15,2.840313322670333,0.0
SS-B350,SS-B350,11-81,2897.5,1263.5,1562.0,60.735347229402606,40.10907754849395,18.959732092175848,15,-3.653643667537054,0.0
SS-B354,SS-B354,7-120,3097.5,1123.5,1902.5,62.79953641072744,37.816194338643385,24.07150327943811,15,0.19796442684936721,0.0
SS-B356,SS-B356,7-120,2556.0,796.0,1656.0,57.03889546719483,31.833885974668284,23.732052990986602,15,3.375317333582764,0.0
SS-B357,SS-B357,6-214,7716.0,1683.5,6083.0,99.01662380396382,46.245183572744494,53.463426304723605,15,7.479783747820619,0.0
SS-B358,SS-B358,10-11,2966.0,1134.0,1809.5,61.45055571578804,37.99517790567306,23.415460691917254,15,0.36545860628006466,1.0
SS-B360,SS-B360,6-214,1626.0,925.0,665.0,45.500412083182,34.31746523173797,10.800334471416443,15,-2.5122934850828234,1.0
SS-B364,SS-B364,nd,16556.5,2292.0,14235.0,144.75282969881223,53.960828967654834,84.48698064817506,15,10.581925074337533,0.0
SS-B366,SS-B366,nd,3121.5,1388.0,1698.0,63.03380279348792,42.035596141368586,22.454841939598953,15,-1.5617137702270831,1.0
SS-B368,SS-B368,nd,2168.0,761.5,1427.5,52.53935032892806,31.120808545348805,21.247126663744048,15,3.6373101207663012,0.0
SS-B369,SS-B369,nd,2445.0,809.5,1767.0,55.79428121100665,32.10428248451301,25.72499338961975,15,6.128080022103521,0.0
SS-B373,SS-B373,nd,3326.0,1375.0,1971.5,65.05874499775803,41.84019929918065,23.40976325907473,15,-1.8429957281030838,0.0
SS-B374,SS-B374,11-81,3355.0,1529.5,2101.0,65.34667447274998,44.087455564963946,23.96856665028537,15,-1.4599698775455288,1.0
SS-B378,SS-B378,nd,2555.0,750.0,1815.5,57.02772991083455,30.855588224433518,25.91984130425074,15,5.569922087008457,0.0
SS-B379,SS-B379,nd,9910.0,2184.0,7793.0,112.28184272393773,52.716734918759954,60.05266451767887,15,5.970762628198308,0.0
SS-B382,SS-B382,7-150,3172.5,1146.0,1966.0,63.554119175734755,38.19683326319763,24.476527491187944,15,0.14232478104902668,1.0
SS-B383,SS-B383,11-22,2807.5,1148.5,1561.5,59.78286236461095,38.23957510619422,20.791210427435164,15,-1.2406845823578472,0.0
SS-B387,SS-B387,6-214,1888.0,1052.5,694.0,49.02934081200753,36.602801814106144,11.635571136803527,15,-3.831426090539914,0.0
SS-B396,SS-B396,6-214,3796.0,1778.0,2052.0,69.52134428946752,47.579616544683496,22.55333556641279,15,-5.42378753263236,1.0
SS-B397,SS-B397,nd,2532.5,1085.0,1523.5,56.783833085334834,37.1680629847407,20.991617728003497,15,0.7905946394421477,0.0
SS-B399,SS-B399,nd,2028.0,718.5,1309.5,50.79920536880776,30.245622697129086,20.553582671678676,15,4.006104055300312,1.0
SS-B407,SS-B407,nd,2736.0,963.0,1753.0,59.0135442322097,35.013184078967996,23.493214302178636,15,1.930978917532002,0.0
SS-B553,SS-B553,nd,3318.0,1216.5,2098.0,64.9951456660828,39.35521616896182,25.898803034480817,15,0.6848706874354953,0.0
SS-B560,SS-B560,10-18,2532.0,1017.5,1583.0,56.76499615621785,35.943889733154855,20.8545042247153,15,0.6649808586944559,1.0
SS-B563,SS-B563,11-81,1824.0,1066.0,750.5,48.19044638410256,36.84039666104937,11.160907297354697,15,-3.793954798950729,1.0
SS-B564,SS-B564,11-81,2763.5,1133.5,1656.0,59.30366086022359,37.989687970700736,21.441331580102116,15,-0.29801657626151723,0.0
SS-B565,SS-B565,nd,5842.0,1667.5,3980.5,86.2420923912886,46.03700296250955,37.97069664437067,15,-0.2142455023768406,0.0
SS-B569,SS-B569,nd,2516.5,734.0,1762.5,56.60262197680894,30.56824001056132,23.47247034400484,15,3.3820744949666093,0.0
SS-B570,SS-B570,7-150,3419.5,1228.0,2112.5,65.98361453489878,39.5273098701757,27.322638292068966,15,1.505257386040718,0.0
SS-B574,SS-B574,6-214,4019.0,1790.0,2238.0,71.53425508865911,47.73954262976869,23.685683903809174,15,-5.520297442019551,1.0
SS-B575,SS-B575,10-11,3607.5,1422.0,2185.5,67.77274473192546,42.55051859394197,25.519594010730835,15,-1.390029729937055,1.0
SS-B579,SS-B579,6-214,1715.0,936.0,740.5,46.713324258458314,34.51892667303292,11.25702321517338,15,-2.796073285590797,1.0
SS-B580,SS-B580,11-81,4795.0,1302.0,3582.0,78.07614209018347,40.71527279929133,37.42738206282119,15,4.2276560390970985,0.0
SS-B584,SS-B584,nd,7775.0,2466.5,5162.5,99.49591659649009,56.02938903731014,44.30233823682637,15,-1.973906903835605,1.0
SS-B585,SS-B585,nd,2686.0,820.5,1821.5,58.480094195877,32.31186050938443,26.194959049901296,15,4.9583886061242275,0.0
SS-B586,SS-B586,nd,7024.0,2088.0,4845.5,94.5672924476032,51.55906717920035,41.00392043845406,15,-2.2634579242618926,1.0
SS-B587,SS-B587,nd,3001.5,1135.0,1804.5,61.815295957640615,38.014824519842385,24.578257205250157,15,1.3055855138289623,1.0
SS-B588,SS-B588,nd,2644.0,967.0,1636.5,58.021076827992175,35.05481074079644,23.482739748242523,15,2.5263939811717933,0.0
SS-B589,SS-B589,11-81,2336.0,1172.0,1489.5,54.52821100331492,38.5996685243002,19.497622619964808,15,0.6736301470822639,1.0
SS-B591,SS-B591,nd,2805.0,793.5,1940.5,59.76080818177786,31.78431160926433,26.99540126266434,15,4.9769700707719515,0.0
SS-B598,SS-B598,11-22,1668.0,780.0,811.5,46.018473320165015,31.513915099419602,13.771703394617875,15,0.14280517732952624,0.0
SS-B599,SS-B599,11-22,2603.0,1200.0,1141.5,57.56945728995405,39.08820095223359,16.023805587657883,15,-4.6568317903726495,0.0
SS-B600,SS-B600,62140,7400.0,1844.0,5436.0,97.06684619910241,48.45465633447048,48.573826522400665,15,3.780500143487359,0.0
SS-B605,SS-B605,62140,1396.0,796.0,612.5,42.15972490956609,31.833885974668284,10.542924773182067,15,-0.7302531565843982,1.0
SS-B606,SS-B606,nd,2338.0,845.5,1476.0,54.524253458060045,32.7857656792717,21.602601097903253,15,2.7810246596137134,0.0
SS-B611,SS-B611,11-81,2276.5,1324.0,986.0,53.837338677152985,41.02995292813944,11.77590229157061,15,-6.626320793508157,1.0
SS-B621,SS-B621,nd,3555.5,1492.0,2018.0,67.2720182666893,43.5133815526863,24.445197563700646,15,-2.1587385894023328,0.0
SS-B869_cor,SS-B869_cor,nd,6377.0,1777.0,4466.5,89.99310207805617,47.56623268524312,40.69058629540033,15,0.21569707837000607,1.0
SS-B872,SS-B872,10-18,6233.0,1890.0,4115.0,88.9972509609212,49.042598576300016,39.6971094971216,15,-0.16982438559812607,1.0
