Strain,SSK1,SSK2,Fludio,Row,Column,Plate,Outcome
SS-B357,1.0,1.0,Resistant,b,2,qtl1,1
SS-B360,0.0,0.0,Resistant,b,3,qtl1,1
SS-B364,0.0,1.0,Sensitive,b,4,qtl1,1
SS-B366,1.0,1.0,Resistant,b,5,qtl1,1
SS-B368,1.0,1.0,Resistant,b,6,qtl1,1
SS-B369,0.0,1.0,Sensitive,b,7,qtl1,1
SS-B373,0.0,1.0,Sensitive,b,8,qtl1,1
SS-B374,1.0,0.0,Resistant,b,9,qtl1,1
SS-B378,0.0,1.0,Sensitive,b,10,qtl1,0
SS-B379,1.0,1.0,Resistant,b,11,qtl1,1
SS-B387,1.0,1.0,Resistant,c,2,qtl1,1
SS-B396,1.0,1.0,Resistant,c,3,qtl1,1
SS-B397,1.0,1.0,Resistant,c,4,qtl1,1
SS-B399,1.0,1.0,Resistant,c,5,qtl1,1
SS-B407,1.0,1.0,Resistant,c,6,qtl1,1
SS-B553,1.0,0.0,Resistant,c,7,qtl1,1
SS-B563,1.0,1.0,Resistant,c,8,qtl1,1
SS-B564,1.0,0.0,Resistant,c,9,qtl1,1
SS-B565,0.0,1.0,Sensitive,c,10,qtl1,0
SS-B569,1.0,0.0,Resistant,c,11,qtl1,1
SS-B574,0.0,0.0,Resistant,d,2,qtl1,1
SS-B579,0.0,1.0,Sensitive,d,3,qtl1,0
SS-B580,1.0,1.0,Resistant,d,4,qtl1,1
SS-B584,1.0,1.0,Resistant,d,5,qtl1,1
SS-B585,1.0,0.0,Resistant,d,6,qtl1,1
SS-B586,1.0,0.0,Resistant,d,7,qtl1,1
SS-B587,1.0,1.0,Resistant,d,8,qtl1,1
SS-B588,1.0,0.0,Resistant,d,9,qtl1,1
SS-B589,0.0,1.0,Sensitive,d,10,qtl1,0
SS-B591,0.0,1.0,Sensitive,d,11,qtl1,0
SS-B600,0.0,1.0,Sensitive,e,2,qtl1,1
SS-B605,1.0,0.0,Resistant,e,3,qtl1,1
SS-B606,1.0,1.0,Resistant,e,4,qtl1,1
SS-B611,0.0,1.0,Sensitive,e,5,qtl1,0
SS-B621,1.0,0.0,Resistant,e,6,qtl1,1
SS-B869_cor,1.0,0.0,Resistant,e,7,qtl1,1
SS-B872_cor,0.0,0.0,Resistant,e,8,qtl1,1
SS-B873_cor,0.0,0.0,Resistant,e,9,qtl1,1
SS-B876,1.0,1.0,Resistant,e,10,qtl1,1
SS-B880,0.0,0.0,Resistant,e,11,qtl1,1
SS-B890_cor,0.0,0.0,Resistant,f,2,qtl1,1
SS-B892_cor,1.0,0.0,Resistant,f,3,qtl1,1
SS-B896_cor,1.0,0.0,Resistant,f,4,qtl1,1
SS-B898_cor,0.0,0.0,Resistant,f,5,qtl1,1
SS-B901_cor,0.0,0.0,Resistant,f,6,qtl1,1
SS-B905,0.0,0.0,Resistant,f,7,qtl1,1
SS-B906_cor,1.0,0.0,Resistant,f,8,qtl1,1
SS-B908_cor,1.0,0.0,Resistant,f,9,qtl1,1
SS-B926,0.0,0.0,Resistant,f,10,qtl1,1
SS-B927,1.0,0.0,Resistant,f,11,qtl1,1
SS-B575,0.0,0.0,Resistant,g,2,qtl1,1
SS-B952,1.0,0.0,Resistant,g,3,qtl1,1
SS-B956,1.0,0.0,Resistant,g,4,qtl1,1
