Strain,Col,Isold,Score,Score_down,Chr02,Chr12,Chr14,SSK2,RIC8
SS-A837,7,0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
SS-B307,2,0,0.5,0.0,0.0,0.0,1.0,0.0,1.0
SS-B310,4,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SS-B311,5,0,4.0,4.0,0.0,1.0,1.0,1.0,1.0
SS-B312,6,0,5.0,5.0,0.0,1.0,0.0,1.0,0.0
SS-B313,7,0,4.0,4.0,0.0,1.0,0.0,1.0,0.0
SS-B314,8,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SS-B315,9,0,5.0,5.0,0.0,1.0,0.0,1.0,0.0
SS-B316,10,0,3.0,3.0,0.0,0.0,1.0,0.0,1.0
SS-B317,11,0,3.5,3.0,0.0,1.0,1.0,1.0,1.0
SS-B350,2,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
SS-B354,3,0,2.5,2.0,1.0,0.0,0.0,0.0,0.0
SS-B356,4,0,2.5,2.0,0.0,1.0,0.0,1.0,0.0
SS-B357,2,0,4.0,4.0,1.0,1.0,0.0,0.0,0.0
SS-B358,8,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
SS-B360,3,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SS-B364,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-B366,5,0,4.0,4.0,1.0,1.0,0.0,1.0,0.0
SS-B368,6,0,4.0,4.0,1.0,1.0,0.0,1.0,0.0
SS-B369,7,0,4.0,4.0,0.0,1.0,0.0,1.0,0.0
SS-B373,8,0,5.0,5.0,0.0,1.0,0.0,1.0,0.0
SS-B374,9,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SS-B378,10,0,4.0,4.0,0.0,1.0,0.0,1.0,0.0
SS-B379,11,0,2.0,2.0,0.0,1.0,1.0,1.0,1.0
SS-B382,5,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
SS-B383,6,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SS-B387,2,0,3.5,3.0,1.0,1.0,0.0,1.0,0.0
SS-B396,3,0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
SS-B397,4,0,1.5,1.0,1.0,1.0,0.0,1.0,0.0
