Row,Column,Plate,Strain,Scoredm,Scorelh,Plate_name,Replicate_name,Replicate
e,7,2,SS-A837,3.0,3.0,qtl2a,a,0
e,7,2,SS-A837,2.0,2.0,qtl2b,b,1
e,7,2,SS-A837,2.0,2.0,qtl2c,c,2
e,7,2,SS-A837,2.0,2.0,qtl2d,d,3
b,2,2,SS-B307,2.0,2.0,qtl2a,a,0
b,2,2,SS-B307,1.0,2.0,qtl2b,b,1
b,2,2,SS-B307,0.0,0.0,qtl2c,c,2
b,2,2,SS-B307,0.0,0.0,qtl2d,d,3
b,3,2,SS-B308,2.0,2.0,qtl2a,a,0
b,3,2,SS-B308,1.0,2.0,qtl2b,b,1
b,3,2,SS-B308,0.0,0.0,qtl2c,c,2
b,3,2,SS-B308,2.0,2.0,qtl2d,d,3
b,4,2,SS-B310,0.0,0.0,qtl2a,a,0
b,4,2,SS-B310,2.0,2.0,qtl2b,b,1
b,4,2,SS-B310,0.0,0.0,qtl2c,c,2
b,4,2,SS-B310,0.0,0.0,qtl2d,d,3
b,5,2,SS-B311,4.0,4.0,qtl2a,a,0
b,5,2,SS-B311,4.0,4.0,qtl2b,b,1
b,5,2,SS-B311,4.0,4.0,qtl2c,c,2
b,5,2,SS-B311,4.0,3.0,qtl2d,d,3
b,6,2,SS-B312,5.0,5.0,qtl2a,a,0
b,6,2,SS-B312,5.0,5.0,qtl2b,b,1
b,6,2,SS-B312,5.0,5.0,qtl2c,c,2
b,6,2,SS-B312,5.0,5.0,qtl2d,d,3
b,7,2,SS-B313,5.0,5.0,qtl2a,a,0
b,7,2,SS-B313,4.0,4.0,qtl2b,b,1
b,7,2,SS-B313,4.0,3.0,qtl2c,c,2
b,7,2,SS-B313,4.0,3.0,qtl2d,d,3
b,8,2,SS-B314,2.0,2.0,qtl2a,a,0
b,8,2,SS-B314,2.0,2.0,qtl2b,b,1
b,8,2,SS-B314,0.0,0.0,qtl2c,c,2
b,8,2,SS-B314,0.0,0.0,qtl2d,d,3
b,9,2,SS-B315,5.0,5.0,qtl2a,a,0
b,9,2,SS-B315,5.0,5.0,qtl2b,b,1
b,9,2,SS-B315,5.0,5.0,qtl2c,c,2
b,9,2,SS-B315,5.0,5.0,qtl2d,d,3
b,10,2,SS-B316,4.0,4.0,qtl2a,a,0
b,10,2,SS-B316,4.0,3.0,qtl2b,b,1
b,10,2,SS-B316,3.0,2.0,qtl2c,c,2
b,10,2,SS-B316,3.0,3.0,qtl2d,d,3
b,11,2,SS-B317,5.0,4.0,qtl2a,a,0
b,11,2,SS-B317,4.0,4.0,qtl2b,b,1
b,11,2,SS-B317,3.0,3.0,qtl2c,c,2
b,11,2,SS-B317,3.0,3.0,qtl2d,d,3
c,2,2,SS-B350,2.0,2.0,qtl2a,a,0
c,2,2,SS-B350,2.0,2.0,qtl2b,b,1
c,2,2,SS-B350,1.0,2.0,qtl2c,c,2
c,2,2,SS-B350,0.0,0.0,qtl2d,d,3
c,3,2,SS-B354,3.0,3.0,qtl2a,a,0
c,3,2,SS-B354,3.0,3.0,qtl2b,b,1
c,3,2,SS-B354,0.0,0.0,qtl2c,c,2
c,3,2,SS-B354,1.0,2.0,qtl2d,d,3
c,4,2,SS-B356,4.0,4.0,qtl2a,a,0
c,4,2,SS-B356,3.0,3.0,qtl2b,b,1
