row,column,plate,rep,NaCl,centroid_r,centroid_c,area,perimeter,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,mean_intensity,solidity,convex_area,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc,strain
b,11,2,0,0.5,224.89461630000002,221.187858,873.0,108.5685425,34.24692142,32.46449229,0.318408513,33.33973789,37166.26346,0.974330357,896.0,209.0,204.0,242.0,239.0,SS-B317
b,11,2,0,0.0,227.8673045,225.7720466,2404.0,179.9238816,56.61084312,54.07928001,0.295698548,55.32511062,25473.69384,0.987268994,2435.0,201.0,198.0,256.0,254.0,SS-B317
b,11,2,1,0.5,187.9511435,202.8544699,962.0,113.3969696,35.594194,34.42939381,0.253728197,34.99794911,37633.77547,0.9836400820000001,978.0,171.0,186.0,207.0,221.0,SS-B317
b,11,2,1,0.0,227.5440701,232.0595293,2167.0,171.6812409,53.91553672,51.18588951,0.314154751,52.52723192,26092.218269999998,0.983212341,2204.0,201.0,207.0,255.0,259.0,SS-B317
b,11,2,2,0.5,214.54913880000004,232.9503546,987.0,116.22539669999999,37.69587176,33.37140058,0.465058445,35.44978746,36972.21175,0.975296443,1012.0,196.0,216.0,234.0,251.0,SS-B317
b,11,2,2,0.0,224.84294590000002,256.136646,2254.0,173.9238816,54.90350023,52.2881589,0.304961246,53.571279000000004,25875.8567,0.9881630859999999,2281.0,199.0,229.0,252.0,284.0,SS-B317
b,11,2,0,1.0,164.6408046,211.4454023,348.0,93.98275606,26.58178237,21.39470944,0.593459823,21.04964041,52062.59483,0.731092437,476.0,155.0,199.0,178.0,226.0,SS-B317
b,11,2,1,1.0,,,,,,,,,,,,,,,,SS-B317
b,11,2,2,1.0,,,,,,,,,,,,,,,,SS-B317
b,10,2,0,0.5,226.4452122,330.6969398,1013.0,116.81118319999999,36.59770482,35.25362377,0.268519778,35.91366953,31320.359330000003,0.9768563159999999,1037.0,209.0,313.0,245.0,350.0,SS-B316
b,10,2,0,0.0,226.3847222,334.7648148,2160.0,170.2670273,52.9668785,51.92877189,0.19701320600000002,52.44232467,25454.14676,0.9885583520000001,2185.0,201.0,309.0,253.0,362.0,SS-B316
b,10,2,1,0.5,185.3391642,311.9543246,1029.0,116.81118319999999,36.48799103,35.91622417,0.176336193,36.19618062,30870.096210000003,0.98374761,1046.0,168.0,294.0,204.0,331.0,SS-B316
b,10,2,1,0.0,226.2649746,340.66954310000006,1970.0,162.6101731,50.19876645,49.96672025,0.096040241,50.08275055,25613.11066,0.9884596090000001,1993.0,202.0,316.0,252.0,366.0,SS-B316
b,10,2,2,0.5,212.668952,341.4113614,1021.0,115.9827561,36.65997705,35.46479396,0.25326038,36.05520178,30778.03232,0.987427466,1034.0,195.0,324.0,231.0,360.0,SS-B316
b,10,2,2,0.0,224.04133059999998,364.65625,1984.0,163.4386002,50.4828859,50.04316476,0.131699404,50.26039451,25566.8997,0.9875559979999999,2009.0,199.0,340.0,250.0,390.0,SS-B316
b,10,2,0,1.0,169.9776536,322.51620110000005,895.0,109.15432890000001,35.32553232,32.27010042,0.406824321,33.75721245,32971.24804,0.9813596490000001,912.0,154.0,305.0,187.0,340.0,SS-B316
b,10,2,1,1.0,174.6641054,331.11416030000004,911.0,109.9827561,34.41872027,33.70914027,0.202007893,34.05761626,35103.03403,0.982740022,927.0,158.0,314.0,192.0,349.0,SS-B316
b,10,2,2,1.0,180.6605166,334.5178352,813.0,104.5685425,32.37504487,31.98415993,0.154924259,32.17364993,40999.446489999995,0.97833935,831.0,165.0,318.0,198.0,351.0,SS-B316
b,9,2,0,0.5,224.38505099999998,434.2174405,883.0,110.5685425,34.31840055,32.83069899,0.291239963,33.53014342,34853.27973,0.967141292,913.0,208.0,418.0,242.0,453.0,SS-B315
b,9,2,0,0.0,227.2605699,438.5652574,2176.0,173.0954544,53.92056469,51.42226272,0.300864203,52.63619714,25322.34697,0.9837251359999999,2212.0,201.0,412.0,254.0,466.0,SS-B315
b,9,2,1,0.5,188.0566038,415.6047666,1007.0,119.05382390000001,36.6711742,35.08099705,0.291283217,35.80715322,34869.561069999996,0.964559387,1044.0,170.0,398.0,207.0,435.0,SS-B315
b,9,2,1,0.0,225.9926778,444.0951883,1912.0,160.6101731,49.62434293,49.08287003,0.147322146,49.33998388,25846.76935,0.984552008,1942.0,202.0,420.0,251.0,470.0,SS-B315
b,9,2,2,0.5,213.44851490000002,445.260396,1010.0,120.81118319999999,38.0060479,33.99727922,0.447022177,35.86045092,34031.76535,0.963740458,1048.0,195.0,428.0,233.0,465.0,SS-B315
b,9,2,2,0.0,222.81563419999998,469.1543756,2034.0,166.2670273,52.40843585,49.43243267,0.332182343,50.88977534,25787.64356,0.9845111329999999,2066.0,198.0,443.0,248.0,496.0,SS-B315
b,9,2,0,1.0,,,,,,,,,,,,,,,,SS-B315
b,9,2,1,1.0,,,,,,,,,,,,,,,,SS-B315
b,9,2,2,1.0,,,,,,,,,,,,,,,,SS-B315
b,8,2,0,0.5,225.8441423,543.1171548,956.0,113.15432890000001,34.96894573,34.81516832,0.09367894800000001,34.88863719,32537.174689999996,0.983539095,972.0,209.0,526.0,244.0,561.0,SS-B314
b,8,2,0,0.0,226.5522904,545.5263613,2314.0,179.0954544,54.84348246,53.78743625,0.19529591699999999,54.27961225,26235.96327,0.982590234,2355.0,199.0,518.0,253.0,574.0,SS-B314
b,8,2,1,0.5,187.23780490000001,522.3526423000001,984.0,114.81118319999999,35.82223686,34.98807662,0.214545939,35.3958714,32254.883130000002,0.98105683,1003.0,170.0,505.0,206.0,541.0,SS-B314
b,8,2,1,0.0,227.34700460000002,552.0285713999999,2170.0,171.6812409,53.45466627,51.74904895,0.250594027,52.56357876,26391.38618,0.981456355,2211.0,201.0,526.0,255.0,578.0,SS-B314
b,8,2,2,0.5,214.16569199999998,551.4132553999999,1026.0,119.05382390000001,38.27742563,34.19087413,0.44958291899999997,36.143378000000006,32197.76023,0.973434535,1054.0,196.0,533.0,234.0,570.0,SS-B314
b,8,2,2,0.0,222.95121949999998,575.5262663999999,2132.0,171.6812409,52.98440185,51.26332634,0.252804748,52.10131197,26333.36773,0.980229885,2175.0,198.0,550.0,250.0,603.0,SS-B314
b,8,2,0,1.0,,,,,,,,,,,,,,,,SS-B314
b,8,2,1,1.0,177.5598404,540.9933511,752.0,125.05382390000001,34.82133771,28.76151855,0.563708258,30.94311131,45542.393619999995,0.897374702,838.0,161.0,527.0,195.0,559.0,SS-B314
b,8,2,2,1.0,184.4727794,545.2292263999999,698.0,108.81118319999999,32.77025844,27.88879366,0.525101215,29.81142738,51469.57593,0.922060766,757.0,169.0,531.0,202.0,561.0,SS-B314
b,7,2,0,0.5,224.3369673,646.1397423,1009.0,115.3969696,37.53141478,34.24633958,0.40914067299999995,35.84269383,32353.359760000003,0.9872798429999999,1022.0,207.0,628.0,242.0,665.0,SS-B313
b,7,2,0,0.0,224.2537086,651.5378471,2629.0,188.7523087,58.22356849,57.49334862,0.15787975,57.8562595,25663.545830000003,0.986861862,2664.0,196.0,623.0,254.0,681.0,SS-B313
b,7,2,1,0.5,186.3913043,626.9546716,1081.0,120.22539669999999,38.34793206,35.90001206,0.351559532,37.09948716,32940.60315,0.982727273,1100.0,169.0,608.0,205.0,647.0,SS-B313
b,7,2,1,0.0,225.9170772,657.3181445,2436.0,181.9238816,55.95415787,55.434220700000004,0.136007548,55.69211372,26151.61248,0.9846402590000001,2474.0,198.0,630.0,254.0,686.0,SS-B313
b,7,2,2,0.5,210.4967136,657.8394366,1065.0,118.5685425,37.26702392,36.38535823,0.216232344,36.82390684,32138.709860000003,0.987025023,1079.0,193.0,640.0,229.0,677.0,SS-B313
b,7,2,2,0.0,220.87554669999997,682.1316102999999,2515.0,184.509668,57.61610883,55.58021266,0.26348145,56.587962100000006,25963.8497,0.988212181,2545.0,193.0,654.0,249.0,711.0,SS-B313
b,7,2,0,1.0,171.8077388,638.8077387999999,827.0,105.9827561,34.08319194,30.910520899999998,0.421315984,32.44948541,50747.12576,0.97985782,844.0,155.0,624.0,190.0,655.0,SS-B313
b,7,2,1,1.0,174.0161871,644.2643885,556.0,132.1248917,34.35457874,22.70090206,0.750577497,26.60678836,52337.88129,0.8660436140000001,642.0,160.0,632.0,193.0,658.0,SS-B313
b,7,2,2,1.0,183.7464424,650.1358343999999,773.0,100.9116882,32.0411584,30.72414391,0.283757194,31.37218781,55291.28977999999,0.98346056,786.0,168.0,635.0,200.0,666.0,SS-B313
b,6,2,0,0.5,222.46820809999997,753.5163776,1038.0,117.3969696,36.60115588,36.10736041,0.163708562,36.35412834,30685.144510000002,0.982024598,1057.0,205.0,736.0,241.0,773.0,SS-B312
b,6,2,0,0.0,224.27551780000002,758.0894969999999,2704.0,190.7523087,59.30540657,58.05409129,0.204337562,58.67571669,25247.06509,0.9897510979999999,2732.0,196.0,729.0,254.0,788.0,SS-B312
b,6,2,1,0.5,185.5777369,734.5795767999999,1087.0,121.63961029999999,37.57697792,36.84649463,0.19621773399999998,37.20230349,31719.63293,0.9801623079999999,1109.0,167.0,716.0,205.0,754.0,SS-B312
b,6,2,1,0.0,225.096013,762.8173312000001,2458.0,183.33809509999998,56.74350745,55.15971981,0.234613827,55.94303175,25840.81245,0.984381258,2497.0,198.0,735.0,254.0,792.0,SS-B312
b,6,2,2,0.5,209.89882569999997,764.6946703,1107.0,123.05382390000001,38.05390474,37.09663084,0.22288709399999998,37.54299104,31601.00181,0.977052074,1133.0,191.0,746.0,230.0,784.0,SS-B312
b,6,2,2,0.0,219.46833519999998,788.1642017000001,2637.0,188.9949494,58.94436789,56.96772654,0.256794667,57.94422041,25556.23549,0.987270685,2671.0,191.0,759.0,249.0,818.0,SS-B312
b,6,2,0,1.0,171.39537869999998,746.5840822,779.0,103.74011540000001,32.23927853,30.80005886,0.295450036,31.49370739,47992.765080000005,0.9725343320000001,801.0,156.0,731.0,188.0,763.0,SS-B312
b,6,2,1,1.0,175.69667080000002,754.8187422999999,811.0,103.4974747,32.26159199,32.0239316,0.121157192,32.13405158,51690.30086,0.9830303029999999,825.0,160.0,739.0,192.0,771.0,SS-B312
b,6,2,2,1.0,182.05157230000003,757.7874214,795.0,102.3259018,32.52865187,31.13063099,0.290015784,31.81549054,55257.33459,0.981481481,810.0,167.0,742.0,198.0,775.0,SS-B312
b,5,2,0,0.5,220.06859590000002,860.0546624,933.0,110.5685425,35.17362389,33.79086826,0.277631265,34.46639661,34158.60879,0.986257928,946.0,204.0,843.0,238.0,878.0,SS-B311
b,5,2,0,0.0,222.33897000000002,864.3285934,2602.0,190.9949494,57.87827449,57.29363731,0.141775415,57.558399,26269.21483,0.9778278840000001,2661.0,194.0,836.0,252.0,895.0,SS-B311
b,5,2,1,0.5,183.9524793,841.7716942,968.0,113.9827561,35.60436436,34.62819694,0.232556332,35.10692068,34718.29339,0.9807497470000001,987.0,167.0,824.0,202.0,860.0,SS-B311
b,5,2,1,0.0,224.2169378,870.6829369999999,2397.0,183.33809509999998,55.56558099,54.99309736,0.143176616,55.2445037,26899.26658,0.9771708109999999,2453.0,196.0,843.0,253.0,898.0,SS-B311
b,5,2,2,0.5,209.5186722,871.2603733999999,964.0,112.5685425,35.34630788,34.73821026,0.18469436399999997,35.03431063,34274.32365,0.986693961,977.0,193.0,854.0,228.0,889.0,SS-B311
b,5,2,2,0.0,218.84169280000003,894.9177116000001,2552.0,187.33809509999998,57.74733296,56.32971822,0.220214708,57.00269571,26755.29467,0.981916122,2599.0,190.0,867.0,247.0,924.0,SS-B311
b,5,2,0,1.0,167.58928569999998,852.3571429,784.0,103.9827561,31.89355195,31.32809127,0.18746975300000002,31.59461668,51622.39923,0.972704715,806.0,152.0,836.0,184.0,869.0,SS-B311
b,5,2,1,1.0,,,,,,,,,,,,,,,,SS-B311
b,5,2,2,1.0,,,,,,,,,,,,,,,,SS-B311
b,4,2,0,0.5,220.32,968.2235294,850.0,105.9827561,33.56077008,32.26025301,0.275682009,32.89762321,45742.99059,0.98265896,865.0,204.0,952.0,237.0,986.0,SS-B310
b,4,2,0,0.0,222.24572,972.4320242,2979.0,202.9949494,61.98610445,61.21706839,0.157032648,61.58717889,25375.70527,0.9815485999999999,3035.0,192.0,942.0,254.0,1004.0,SS-B310
b,4,2,1,0.5,185.0680751,948.3638497999999,852.0,107.15432890000001,33.33109039,32.55462833,0.2145884,32.93630356,48553.28286,0.979310345,870.0,169.0,932.0,202.0,966.0,SS-B310
b,4,2,1,0.0,225.0010826,978.3662937999999,2771.0,194.9949494,59.73415332,59.08411645,0.14712548,59.39820518,26102.46445,0.9850693209999999,2813.0,196.0,949.0,255.0,1009.0,SS-B310
b,4,2,2,0.5,210.2759022,978.5587893,859.0,106.3259018,33.85285199,32.31240994,0.298223896,33.0713285,47871.59953,0.985091743,872.0,195.0,962.0,227.0,996.0,SS-B310
b,4,2,2,0.0,218.88924619999997,1002.264737,2799.0,194.9949494,60.13521179,59.28697993,0.167367436,59.69755008,25857.44695,0.984523391,2843.0,189.0,973.0,249.0,1033.0,SS-B310
b,4,2,0,1.0,168.74697340000003,960.0012107000001,826.0,107.3969696,32.51818263,32.37467662,0.093844156,32.42986068,51164.464889999996,0.971764706,850.0,153.0,944.0,187.0,977.0,SS-B310
b,4,2,1,1.0,,,,,,,,,,,,,,,,SS-B310
b,4,2,2,1.0,,,,,,,,,,,,,,,,SS-B310
b,3,2,0,0.5,219.36743219999997,1070.703549,958.0,112.81118319999999,36.8333352,33.12943773,0.43704075700000006,34.92511251,33008.6618,0.9845837620000001,973.0,203.0,1053.0,237.0,1090.0,SS-B308
b,3,2,0,0.0,223.2827113,1074.567568,2331.0,177.6812409,56.08025432,52.92834351,0.33052732,54.47863231,26271.8254,0.986457893,2363.0,197.0,1047.0,250.0,1103.0,SS-B308
b,3,2,1,0.5,186.7164605,1050.757374,1051.0,117.9827561,38.73364266,34.56204238,0.451442255,36.58107108,34117.01618,0.9822429909999999,1070.0,170.0,1032.0,204.0,1071.0,SS-B308
b,3,2,1,0.0,226.71969700000002,1079.655526,2244.0,174.2670273,55.06062023,51.89344814,0.33426691,53.45231088,26606.75535,0.9863736259999999,2275.0,201.0,1053.0,253.0,1108.0,SS-B308
b,3,2,2,0.5,210.9382716,1080.924976,1053.0,119.3969696,38.7537505,34.60291058,0.450271056,36.61586051,33737.955369999996,0.980446927,1074.0,194.0,1062.0,229.0,1101.0,SS-B308
b,3,2,2,0.0,220.44933160000002,1104.009918,2319.0,176.85281369999998,57.33270929,51.51050152,0.439078384,54.33822323,26434.38292,0.987649063,2348.0,195.0,1076.0,246.0,1133.0,SS-B308
b,3,2,0,1.0,170.33615480000003,1061.38815,827.0,104.9116882,33.85411089,31.15879414,0.391014875,32.44948541,50281.15115,0.982185273,842.0,155.0,1046.0,187.0,1079.0,SS-B308
b,3,2,1,1.0,,,,,,,,,,,,,,,,SS-B308
b,3,2,2,1.0,,,,,,,,,,,,,,,,SS-B308
b,2,2,0,0.5,224.9668508,1187.1104970000001,181.0,58.28427125,23.70328101,10.10754807,0.9045253809999999,15.1807891,48657.90055,0.918781726,197.0,215.0,1179.0,235.0,1195.0,SS-B307
b,2,2,0,0.0,224.7836421,1183.543167,2861.0,196.9949494,60.76392797,59.97122257,0.161000391,60.355102,26596.28382,0.986211651,2901.0,195.0,1154.0,256.0,1214.0,SS-B307
b,2,2,1,0.5,,,,,,,,,,,,,,,,SS-B307
b,2,2,1,0.0,227.9291617,1189.5737900000001,2541.0,184.509668,57.66170863,56.123624,0.22942764699999998,56.879712399999995,27448.31405,0.987947123,2572.0,200.0,1162.0,257.0,1218.0,SS-B307
b,2,2,2,0.5,,,,,,,,,,,,,,,,SS-B307
b,2,2,2,0.0,221.60070950000002,1212.978715,2537.0,185.33809509999998,57.74278647,55.94364086,0.24767931,56.83492522,27408.18092,0.986391913,2572.0,194.0,1184.0,250.0,1242.0,SS-B307
b,2,2,0,1.0,173.5760563,1171.969014,710.0,103.3969696,31.48611395,29.06250831,0.384737082,30.06659403,52144.07746,0.9504685409999999,747.0,157.0,1157.0,190.0,1187.0,SS-B307
b,2,2,1,1.0,,,,,,,,,,,,,,,,SS-B307
b,2,2,2,1.0,,,,,,,,,,,,,,,,SS-B307
c,11,2,0,0.5,329.6578171,225.6725664,1017.0,115.9827561,36.14837932,35.82046955,0.13438804099999999,35.98450523,32091.495580000003,0.980713597,1037.0,312.0,208.0,348.0,244.0,SS-B886_cor
c,11,2,0,0.0,330.6342396,229.1210705,2354.0,179.0954544,55.00607668,54.49432956,0.136089588,54.74674318,25882.292269999998,0.981651376,2398.0,304.0,202.0,359.0,257.0,SS-B886_cor
c,11,2,1,0.5,290.7702206,205.24356619999998,1088.0,120.81118319999999,37.66626975,36.78397878,0.21517230899999998,37.21941193,31516.204039999997,0.981064022,1109.0,273.0,187.0,310.0,225.0,SS-B886_cor
c,11,2,1,0.0,329.7511052,233.2793988,2262.0,174.509668,53.73130144,53.61217178,0.066553425,53.66626361,26453.50796,0.986910995,2292.0,303.0,207.0,357.0,261.0,SS-B886_cor
c,11,2,2,0.5,318.1697588,235.17068650000002,1078.0,119.9827561,37.34170278,36.75656092,0.17633579600000002,37.047971999999994,31271.565860000002,0.9817850640000001,1098.0,300.0,217.0,337.0,254.0,SS-B886_cor
c,11,2,2,0.0,326.9086957,259.356087,2300.0,177.33809509999998,54.19798931,54.040356700000004,0.076213241,54.11516379999999,26389.423909999998,0.984167736,2337.0,300.0,233.0,355.0,287.0,SS-B886_cor
c,11,2,0,1.0,274.77245510000006,216.8994012,835.0,105.15432890000001,32.81093593,32.41274852,0.155320152,32.60605802,47838.40479,0.984669811,848.0,259.0,201.0,292.0,234.0,SS-B886_cor
c,11,2,1,1.0,280.032445,225.1506373,863.0,106.9116882,33.22830538,33.06569077,0.09881177099999999,33.14823867,48623.44148,0.982915718,878.0,264.0,209.0,297.0,242.0,SS-B886_cor
c,11,2,2,1.0,285.66416039999996,228.7994987,798.0,102.3259018,32.32378591,31.43395396,0.233022702,31.87546324,53504.45489,0.983970407,811.0,270.0,213.0,302.0,245.0,SS-B886_cor
c,10,2,0,0.5,330.18165469999997,326.2068345,556.0,103.6396103,32.41736961,22.7754655,0.7116148179999999,26.60678836,43913.203239999995,0.8896,625.0,319.0,311.0,343.0,344.0,SS-B599
c,10,2,0,0.0,331.32937410000005,332.021471,2189.0,172.2670273,54.66002015,51.03073682,0.358310185,52.79319429,26527.42942,0.98426259,2224.0,306.0,305.0,357.0,360.0,SS-B599
c,10,2,1,0.5,293.0102041,307.1822157,686.0,117.2964646,33.70547244,26.88085252,0.603289992,29.55405772,43835.95918,0.9062087190000001,757.0,280.0,291.0,308.0,325.0,SS-B599
c,10,2,1,0.0,331.01777549999997,336.5093956,1969.0,164.6101731,51.17570424,49.16444246,0.27759257,50.07003758,27047.83951,0.980089597,2009.0,307.0,310.0,356.0,362.0,SS-B599
c,10,2,2,0.5,318.1608392,337.45734269999997,715.0,115.05382390000001,31.60098467,29.85166927,0.328098138,30.17227659,44083.57902,0.913154534,783.0,302.0,323.0,334.0,355.0,SS-B599
c,10,2,2,0.0,328.3107589,361.85110469999995,2082.0,169.6812409,52.85253223,50.26178435,0.309247545,51.48674327,26831.80692,0.979764706,2125.0,303.0,336.0,354.0,389.0,SS-B599
c,10,2,0,1.0,,,,,,,,,,,,,,,,SS-B599
c,10,2,1,1.0,,,,,,,,,,,,,,,,SS-B599
c,10,2,2,1.0,,,,,,,,,,,,,,,,SS-B599
c,9,2,0,0.5,328.70917430000003,437.7220183,1090.0,120.81118319999999,37.64874166,36.86530194,0.202941748,37.25360525,32603.634860000002,0.981981982,1110.0,311.0,419.0,348.0,457.0,SS-B598
c,9,2,0,0.0,329.22068039999994,440.1392122,2234.0,173.6812409,53.79978033,52.87515234,0.184601066,53.33307738,25700.87019,0.985443317,2267.0,303.0,414.0,356.0,468.0,SS-B598
c,9,2,1,0.5,289.2727273,416.2169811,1166.0,124.4680374,38.89698192,38.17577989,0.19167392100000002,38.53047248,32204.15352,0.9806560129999999,1189.0,270.0,397.0,309.0,436.0,SS-B598
c,9,2,1,0.0,329.73663369999997,445.79801979999996,2020.0,164.85281369999998,50.88020069,50.55636085,0.11264543099999999,50.71433604,26141.95099,0.9887420459999999,2043.0,305.0,421.0,356.0,472.0,SS-B598
c,9,2,2,0.5,316.34835360000005,446.66031200000003,1154.0,124.4680374,38.72867538,37.94254052,0.20046200100000003,38.33168969,31416.25997,0.98212766,1175.0,297.0,428.0,336.0,467.0,SS-B598
c,9,2,2,0.0,326.048852,471.60625310000006,2047.0,166.85281369999998,51.3950127,50.71753531,0.161832589,51.05214342,26243.621890000002,0.984134615,2080.0,301.0,446.0,352.0,498.0,SS-B598
c,9,2,0,1.0,274.73456789999994,428.75205760000006,972.0,113.9827561,35.7415937,34.628415999999994,0.24762936300000002,35.17938086,33607.27572,0.983805668,988.0,258.0,411.0,293.0,447.0,SS-B598
c,9,2,1,1.0,279.5005086,436.6510682,983.0,113.9827561,35.83403889,34.93426536,0.222684629,35.37788112,35371.516789999994,0.9839839840000001,999.0,262.0,420.0,298.0,455.0,SS-B598
c,9,2,2,1.0,284.6961207,439.27370690000004,928.0,111.9827561,35.36644544,33.43063524,0.32630594,34.37391886,36444.55065,0.978902954,948.0,268.0,422.0,303.0,457.0,SS-B598
c,8,2,0,0.5,329.1885014,540.66164,1061.0,119.63961029999999,38.80064516,34.84199283,0.440047343,36.75468891,30186.708769999997,0.983317887,1079.0,312.0,522.0,348.0,561.0,SS-B575
c,8,2,0,0.0,332.4761905,544.5543906,2289.0,175.9238816,55.75784467,52.28119665,0.347587976,53.98560288,25152.370030000002,0.988768898,2315.0,305.0,518.0,360.0,572.0,SS-B575
c,8,2,1,0.5,293.5561358,521.0191470999999,1149.0,124.22539669999999,39.57053938,36.97965276,0.35589786,38.24855863,30439.367280000002,0.982051282,1170.0,275.0,502.0,313.0,541.0,SS-B575
c,8,2,1,0.0,333.2514045,549.6385767999999,2136.0,169.6812409,54.0630524,50.32727028,0.36527531799999996,52.150164600000004,25661.63109,0.9852398520000001,2168.0,307.0,524.0,360.0,576.0,SS-B575
c,8,2,2,0.5,319.3145756,551.797048,1084.0,121.63961029999999,39.27394481,35.16971704,0.445066663,37.1509309,29791.69926,0.9792231259999999,1107.0,300.0,534.0,339.0,571.0,SS-B575
c,8,2,2,0.0,328.3108292,574.7231536,2207.0,172.2670273,54.41647137,51.64394254,0.31512605899999996,53.00980735,25920.65292,0.986589182,2237.0,303.0,548.0,355.0,602.0,SS-B575
c,8,2,0,1.0,277.22680410000004,530.628866,873.0,107.3969696,34.87433519,31.94235423,0.40134431200000004,33.33973789,36505.06415,0.9853273140000001,886.0,261.0,514.0,295.0,548.0,SS-B575
c,8,2,1,1.0,280.5050251,538.6922111,796.0,106.6690476,34.60236387,29.43478379,0.525719188,31.83549399,47572.782660000004,0.96954933,821.0,266.0,522.0,295.0,556.0,SS-B575
c,8,2,2,1.0,288.0699088,541.3145897,658.0,109.05382390000001,31.77001059,26.88614786,0.5327471970000001,28.94463025,54225.02736,0.925457103,711.0,274.0,525.0,303.0,558.0,SS-B575
c,7,2,0,0.5,329.7203947,650.2642544,912.0,116.4680374,34.86014548,33.41942916,0.284515183,34.07630357,34907.80154,0.9610115909999999,949.0,312.0,634.0,348.0,668.0,SS-B570
