,Cumpos,Chrom,Max,Pos
522,3142153,Chr02,5.958630673329742,847396
523,3143506,Chr02,6.297631186296992,848749
524,3144731,Chr02,6.466895306629045,849974
525,3205392,Chr02,5.130648203871765,910635
527,3209641,Chr02,5.192451340791583,914884
528,3210169,Chr02,5.207375388211355,915412
529,3210875,Chr02,5.55167658883492,916118
530,3214729,Chr02,5.220504731092781,919972
531,3226464,Chr02,5.634191131160506,931707
532,3235361,Chr02,5.623938777420997,940604
533,3270340,Chr02,7.392040125984704,975583
534,3282113,Chr02,7.2763280769095875,987356
535,3284840,Chr02,5.682397277541726,990083
536,3286010,Chr02,5.193955902856668,991253
537,3295008,Chr02,5.297597750528506,1000251
538,3295411,Chr02,5.980084469923785,1000654
539,3295770,Chr02,5.141040854268618,1001013
2507,15363962,Chr11,5.20676972804763,37942
2508,15364211,Chr11,5.520204960970863,38191
2509,15364452,Chr11,5.235071638257413,38432
2511,15375667,Chr11,5.481389038103285,49647
2512,15424147,Chr11,5.099703130624069,98127
2773,16882456,Chr12,5.093764952841245,552849
2774,16886184,Chr12,5.177557117517826,556577
2775,16886652,Chr12,5.14614103166117,557045
2776,16887705,Chr12,5.681279649483202,558098
2777,16887983,Chr12,5.978975623403256,558376
2778,16889408,Chr12,5.5564986278497885,559801
2779,16889726,Chr12,5.288005472502424,560119
2780,16893773,Chr12,5.402727584236691,564166
2781,16895510,Chr12,5.3146732432765065,565903
2782,16898259,Chr12,5.633866648759061,568652
2783,16898464,Chr12,5.2198313649405215,568857
2784,16900307,Chr12,5.232801932190549,570700
2785,16901451,Chr12,5.538582378923117,571844
2786,16901636,Chr12,5.232801932190549,572029
2788,16902451,Chr12,5.172782423577866,572844
2789,16902731,Chr12,5.477953652404825,573124
2790,16904247,Chr12,5.634920566977577,574640
2791,16905357,Chr12,5.95044956088195,575750
2792,16918174,Chr12,6.261549169049419,588567
2793,16938054,Chr12,5.669473531981232,608447
2796,16940770,Chr12,5.421489927294056,611163
3013,18302746,Chr14,5.608107596772832,353726
3014,18302905,Chr14,5.9091272908789305,353885
3015,18303035,Chr14,5.777368006277362,354015
3016,18304336,Chr14,7.944398931354092,355316
3017,18331892,Chr14,6.995096980325188,382872
3018,18332705,Chr14,7.944398931354092,383685
3019,18334473,Chr14,7.488867825689034,385453
3020,18347859,Chr14,7.637436386768802,398839
3021,18348187,Chr14,7.488867825689034,399167
3022,18348390,Chr14,7.637436386768802,399370
3023,18351035,Chr14,7.261054944144198,402015
3024,18352596,Chr14,6.809891602727287,403576
3025,18353505,Chr14,6.11150189036898,404485
3026,18354330,Chr14,6.4957808485450075,405310
3027,18354816,Chr14,5.532413518158189,405796
3028,18366957,Chr14,5.371964362619324,417937
3030,18371603,Chr14,5.064391390579652,422583
